order_item_id,order_id,product_id,quantity,unit_price
1,1,27,2,240.19
2,2,27,3,248.38
3,2,25,1,95.33
4,3,5,3,30.29
5,3,26,1,112.33
6,3,5,2,21.33
7,4,1,1,193.71
8,4,5,1,28.03
9,4,24,4,57.51
10,5,17,4,224.59
11,5,17,1,195.71
12,5,24,3,75.01
13,6,21,1,17.2
14,6,16,4,231.29
15,6,22,4,28.94
16,6,3,3,192.58
17,7,3,3,146.04
18,7,13,3,144.26
19,8,17,1,225.5
20,8,26,2,136.27
21,8,14,2,217.94
22,8,14,4,209.02
23,9,14,3,239.96
24,9,14,3,206.92
25,9,12,4,64.36
26,9,3,1,143.94
27,10,14,3,189.82
28,11,18,3,29.31
29,11,22,3,29.12
30,12,24,3,57.21
31,12,20,1,131.9
32,12,19,2,168.68
33,12,22,1,33.44
34,13,18,3,33.13
35,13,19,4,151.78
36,13,18,1,40.67
37,14,1,3,194.19
38,14,11,2,42.56
39,14,5,4,26.41
40,15,5,1,28.02
41,16,24,4,68.87
42,17,15,3,27.69
43,17,10,1,151.44
44,17,2,1,21.27
45,17,22,4,28.63
46,18,16,4,213.64
47,18,9,1,51.51
48,18,12,3,54.0
49,18,22,4,35.8
50,19,2,1,21.83
51,19,1,2,196.07
52,19,25,3,94.93
53,20,11,4,38.85
54,20,24,2,66.44
55,20,13,2,124.02
56,21,3,1,162.35
57,21,14,1,183.66
58,21,11,4,46.17
59,22,10,1,121.05
60,22,11,4,39.69
61,22,27,3,234.27
62,22,3,1,164.74
63,23,14,1,228.81
64,23,13,3,138.82
65,24,11,1,49.44
66,24,17,2,227.66
67,25,12,2,59.88
68,25,8,3,32.19
69,25,7,2,180.19
70,26,6,4,216.62
71,27,25,4,111.54
72,27,22,3,38.75
73,27,21,4,13.79
74,27,3,3,166.68
75,28,19,1,141.57
76,28,10,1,138.42
77,28,2,3,23.11
78,29,21,1,16.68
79,30,15,1,30.2
80,30,15,2,33.65
81,30,11,2,46.64
82,30,2,3,23.82
83,31,17,1,228.66
84,32,23,4,188.37
85,32,17,2,219.09
86,33,12,4,63.65
87,33,14,1,243.51
88,33,26,3,133.05
89,34,11,4,38.44
90,35,9,2,61.91
91,35,11,2,38.24
92,35,12,4,51.63
93,36,20,1,151.92
94,36,10,3,143.29
95,37,22,1,36.09
96,37,21,3,15.65
97,38,12,2,51.6
98,39,25,2,108.53
99,39,5,3,22.62
100,39,26,1,109.0
101,40,25,4,113.66
102,40,5,2,22.69
103,40,24,4,66.61
104,41,22,4,36.3
105,41,20,4,130.51
106,41,8,3,37.96
107,42,27,4,195.43
108,42,15,4,32.18
109,42,17,2,219.45
110,42,27,2,195.88
111,43,2,3,25.47
112,43,18,1,40.17
113,43,10,2,119.48
114,44,15,2,33.61
115,44,27,2,214.51
116,44,27,3,215.58
117,45,14,3,186.39
118,46,13,3,144.25
119,46,8,1,31.19
120,47,26,1,111.04
121,47,10,4,161.26
122,47,23,4,215.44
