customer_id,customer_name,city,country,signup_date
1,Customer 001,Manchester,UK,2024-01-26
2,Customer 002,Liverpool,UK,2024-09-07
3,Customer 003,Leeds,UK,2024-05-22
4,Customer 004,Manchester,UK,2025-07-12
5,Customer 005,Manchester,UK,2025-03-08
6,Customer 006,London,UK,2024-01-31
7,Customer 007,Manchester,UK,2024-08-11
8,Customer 008,Leeds,UK,2025-06-01
9,Customer 009,London,UK,2025-07-28
10,Customer 010,Leeds,UK,2025-07-12
11,Customer 011,Glasgow,UK,2024-08-13
12,Customer 012,Edinburgh,UK,2024-10-11
13,Customer 013,London,UK,2024-06-12
14,Customer 014,Glasgow,UK,2024-12-14
15,Customer 015,Liverpool,UK,2024-06-08
16,Customer 016,Leeds,UK,2024-12-10
17,Customer 017,Manchester,UK,2024-04-04
18,Customer 018,Glasgow,UK,2024-04-09
19,Customer 019,Bristol,UK,2024-12-18
20,Customer 020,Liverpool,UK,2024-02-14
21,Customer 021,Edinburgh,UK,2025-07-03
22,Customer 022,Manchester,UK,2025-01-22
23,Customer 023,Manchester,UK,2025-07-19
24,Customer 024,Liverpool,UK,2025-01-05
25,Customer 025,Leeds,UK,2024-03-12
26,Customer 026,London,UK,2024-08-21
27,Customer 027,Liverpool,UK,2024-03-22
28,Customer 028,Leeds,UK,2024-04-13
29,Customer 029,Glasgow,UK,2024-10-11
30,Customer 030,Edinburgh,UK,2025-01-08
31,Customer 031,Birmingham,UK,2025-01-14
32,Customer 032,Bristol,UK,2024-08-02
33,Customer 033,Liverpool,UK,2024-03-14
34,Customer 034,Birmingham,UK,2025-06-30
35,Customer 035,Leeds,UK,2024-06-16
36,Customer 036,Edinburgh,UK,2025-01-23
37,Customer 037,Liverpool,UK,2025-07-24
38,Customer 038,Leeds,UK,2024-11-28
39,Customer 039,London,UK,2024-08-22
40,Customer 040,London,UK,2024-11-19
41,Customer 041,Glasgow,UK,2024-10-01
42,Customer 042,Manchester,UK,2024-08-04
43,Customer 043,Bristol,UK,2024-08-05
44,Customer 044,Edinburgh,UK,2025-02-09
45,Customer 045,Edinburgh,UK,2024-05-26
46,Customer 046,Liverpool,UK,2024-05-22
47,Customer 047,Leeds,UK,2025-07-28
48,Customer 048,Liverpool,UK,2025-08-21
49,Customer 049,Glasgow,UK,2025-08-20
50,Customer 050,Glasgow,UK,2025-01-05
51,Customer 051,Leeds,UK,2024-05-21
52,Customer 052,Edinburgh,UK,2024-04-03
53,Customer 053,London,UK,2024-04-22
54,Customer 054,Birmingham,UK,2024-06-12
55,Customer 055,Glasgow,UK,2024-03-06
56,Customer 056,Glasgow,UK,2025-01-25
57,Customer 057,Edinburgh,UK,2025-06-25
58,Customer 058,Liverpool,UK,2025-07-20
59,Customer 059,London,UK,2024-04-27
60,Customer 060,Liverpool,UK,2024-12-14
61,Customer 061,Manchester,UK,2024-10-27
62,Customer 062,Glasgow,UK,2024-06-10
63,Customer 063,Edinburgh,UK,2024-01-04
64,Customer 064,Liverpool,UK,2025-05-27
65,Customer 065,Birmingham,UK,2025-06-03
66,Customer 066,Manchester,UK,2024-11-01
67,Customer 067,Leeds,UK,2024-06-05
68,Customer 068,Bristol,UK,2024-06-14
69,Customer 069,London,UK,2024-11-27
70,Customer 070,Edinburgh,UK,2024-01-20
71,Customer 071,Manchester,UK,2025-01-06
72,Customer 072,Liverpool,UK,2024-09-02
73,Customer 073,London,UK,2024-09-03
74,Customer 074,Manchester,UK,2024-03-28
75,Customer 075,Edinburgh,UK,2024-03-11
76,Customer 076,Birmingham,UK,2024-05-11
77,Customer 077,Edinburgh,UK,2025-07-16
78,Customer 078,Birmingham,UK,2024-09-28
79,Customer 079,Glasgow,UK,2024-08-04
80,Customer 080,Leeds,UK,2024-11-15
81,Customer 081,Glasgow,UK,2025-01-17
82,Customer 082,Edinburgh,UK,2025-06-13
83,Customer 083,Edinburgh,UK,2024-05-03
84,Customer 084,Leeds,UK,2024-08-18
85,Customer 085,Manchester,UK,2024-12-12
86,Customer 086,London,UK,2025-07-21
87,Customer 087,Leeds,UK,2024-08-13
88,Customer 088,London,UK,2024-03-13
89,Customer 089,London,UK,2024-08-22
90,Customer 090,Manchester,UK,2024-02-02
91,Customer 091,Bristol,UK,2024-03-13
92,Customer 092,Leeds,UK,2024-10-12
93,Customer 093,Edinburgh,UK,2024-08-07
94,Customer 094,Birmingham,UK,2025-08-07
95,Customer 095,Edinburgh,UK,2024-09-05
96,Customer 096,Edinburgh,UK,2025-02-20
97,Customer 097,Leeds,UK,2024-04-06
98,Customer 098,Manchester,UK,2025-03-17
99,Customer 099,Bristol,UK,2025-03-09
100,Customer 100,Glasgow,UK,2025-04-23
