order_id,customer_id,order_date,status
1,8,2025-03-26,Completed
2,1,2025-07-19,Completed
3,59,2025-05-27,Completed
4,90,2025-10-12,Returned
5,92,2025-09-07,Completed
6,25,2025-06-01,Completed
7,8,2025-10-24,Returned
8,70,2025-02-01,Returned
9,41,2025-01-30,Completed
10,75,2025-09-02,Cancelled
11,68,2025-03-22,Completed
12,66,2025-02-11,Completed
13,9,2025-11-01,Completed
14,87,2025-05-01,Completed
15,16,2025-10-19,Completed
16,75,2025-11-01,Completed
17,80,2025-02-11,Completed
18,85,2025-10-26,Cancelled
19,67,2025-06-11,Completed
20,27,2025-12-09,Returned
21,41,2025-05-03,Completed
22,51,2025-03-09,Returned
23,83,2025-06-03,Completed
24,41,2025-02-07,Completed
25,59,2025-11-15,Cancelled
26,13,2025-02-07,Cancelled
27,28,2025-09-17,Completed
28,17,2025-06-28,Completed
29,32,2025-07-09,Completed
30,21,2025-08-13,Cancelled
31,91,2025-06-04,Cancelled
32,84,2025-09-28,Completed
33,86,2025-10-11,Completed
34,85,2025-02-23,Completed
35,34,2025-03-01,Completed
36,96,2025-10-11,Completed
37,35,2025-05-25,Cancelled
38,27,2025-06-25,Completed
39,88,2025-11-21,Completed
40,65,2025-09-08,Completed
41,7,2025-02-17,Returned
42,55,2025-05-22,Completed
43,1,2025-06-20,Completed
44,82,2025-05-15,Completed
45,95,2025-08-15,Cancelled
46,91,2025-08-07,Cancelled
47,2,2025-02-27,Completed
48,89,2025-03-18,Cancelled
49,5,2025-07-09,Cancelled
50,71,2025-03-17,Completed
51,17,2025-01-22,Completed
52,47,2025-01-21,Completed
53,27,2025-12-16,Completed
54,86,2025-02-22,Completed
55,100,2025-10-14,Completed
56,80,2025-03-21,Completed
57,21,2025-04-01,Completed
58,4,2025-04-02,Returned
59,43,2025-07-30,Returned
60,95,2025-05-08,Completed
61,21,2025-12-26,Completed
62,49,2025-01-20,Completed
63,29,2025-04-13,Completed
64,45,2025-06-06,Completed
65,29,2025-01-13,Returned
66,25,2025-07-24,Completed
67,36,2025-02-05,Completed
68,45,2025-11-25,Cancelled
69,52,2025-12-14,Cancelled
70,43,2025-01-15,Completed
71,34,2025-04-02,Cancelled
72,34,2025-01-20,Completed
73,77,2025-08-11,Completed
74,94,2025-06-10,Completed
75,78,2025-09-19,Completed
76,50,2025-10-23,Completed
77,33,2025-01-23,Returned
78,56,2025-01-01,Cancelled
79,69,2025-12-18,Returned
80,95,2025-12-10,Completed
81,47,2025-08-09,Completed
82,86,2025-06-19,Cancelled
83,41,2025-12-06,Completed
84,93,2025-06-03,Cancelled
85,40,2025-12-08,Completed
86,42,2025-07-26,Returned
87,38,2025-10-11,Completed
88,25,2025-08-04,Returned
89,49,2025-12-13,Returned
90,23,2025-11-12,Cancelled
91,39,2025-07-27,Cancelled
92,1,2025-06-05,Completed
93,27,2025-08-09,Cancelled
94,78,2025-12-02,Completed
95,60,2025-08-15,Completed
96,87,2025-04-20,Cancelled
97,61,2025-03-28,Returned
98,11,2025-05-26,Cancelled
99,85,2025-11-21,Cancelled
100,43,2025-02-17,Completed
101,87,2025-06-08,Completed
102,26,2025-03-17,Completed
103,6,2025-05-06,Completed
104,79,2025-02-07,Completed
105,54,2025-11-19,Cancelled
106,25,2025-12-23,Completed
107,64,2025-07-24,Completed
108,19,2025-12-02,Returned
109,1,2025-02-24,Completed
110,29,2025-04-01,Returned
111,67,2025-08-26,Completed
112,72,2025-05-08,Completed
113,59,2025-03-10,Completed
114,86,2025-09-29,Cancelled
115,77,2025-06-12,Completed
116,79,2025-09-16,Completed
117,71,2025-08-17,Completed
118,96,2025-09-01,Completed
119,34,2025-05-07,Returned
120,36,2025-09-24,Completed
121,81,2025-05-03,Completed
122,57,2025-02-09,Returned
123,37,2025-05-01,Completed
124,43,2025-06-13,Cancelled
125,11,2025-03-12,Completed
126,30,2025-07-16,Returned
127,20,2025-12-28,Completed
128,9,2025-08-01,Completed
129,43,2025-10-05,Completed
130,54,2025-02-01,Completed
131,54,2025-07-19,Cancelled
132,90,2025-01-11,Cancelled
133,49,2025-09-02,Completed
134,46,2025-06-02,Completed
135,54,2025-10-03,Returned
136,95,2025-10-07,Cancelled
137,29,2025-09-07,Completed
138,35,2025-08-12,Completed
139,4,2025-07-19,Completed
140,86,2025-12-14,Completed
141,93,2025-03-26,Completed
142,17,2025-11-15,Cancelled
143,4,2025-07-21,Cancelled
144,73,2025-12-06,Completed
145,11,2025-11-26,Completed
146,18,2025-08-25,Completed
147,7,2025-05-14,Completed
